sim_id,p_NiNi_a,p_NiNi_D0,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_F0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.E_coh.err,Ni_fcc.a0.err
sim_id,param,param,param,param,param,param,param,qoi,qoi,err,err
0.0,0.5591833787366305,0.5269895439412785,3.903678839754675,2.4928380524770186,4.109659585320095,1.7791895077831104,-2.1810431863009225,-0.08698606326556226,6.5656789000001,4.363013936734438,3.0456789000001003
1.0,1.463889334558681,0.25540263448596123,4.600442449705122,3.7200484743730002,6.192951742757931,2.18930680156391,-4.447489471085391,-0.958762452519365,6.5656789000001,3.491237547480635,3.0456789000001003
2.0,1.267206638172409,0.7310314499499722,4.617629946422145,1.23165409180677,4.145826576751592,1.2148895508497648,-3.14322016939078,-0.0274276748245415,6.5656789000001,4.422572325175459,3.0456789000001003
3.0,0.9781834365183546,0.9524938205456189,4.3505737119910215,3.523934046861572,2.7338119244972328,3.792277294781765,-1.3433694666784293,-3.4414658855409,6.71998319094486,1.0085341144591,3.19998319094486
4.0,1.4963324094552901,0.8632304301474923,4.170181694625191,2.428102781856907,2.5256217421851836,3.458334145145338,-1.371731324500436,-1.3111579774560924,5.85516163136578,3.1388420225439075,2.33516163136578
5.0,1.041302974882694,0.8087617888699542,4.31879618714416,1.273038865771852,4.19472144354882,2.353003157369765,-0.4236762226515056,-0.040495053030828,6.5656789000001,4.4095049469691725,3.0456789000001003
6.0,1.6334414706704954,0.36154178298715123,3.1370949447727763,1.229679636454064,4.3339980360485875,2.9145377769651617,-0.7235534978462814,-3.3497596993945,4.02281359403405,1.1002403006055004,0.5028135940340497
7.0,1.6059567112774604,0.43624549018680736,4.0221671760554045,3.1407943158791394,2.278321855382684,1.3721158838893257,-2.354112718037167,-0.336216493830525,5.83669970021016,4.113783506169475,2.3166997002101604
8.0,1.2129021128355617,0.34075768748799395,4.372505022137409,3.0316645054278895,3.510195614975905,1.2905028591240093,-0.811233480783863,-0.014613145581010675,6.5656789000001,4.435386854418989,3.0456789000001003
9.0,0.8232567205114038,0.9868033026733799,4.779759552325556,2.8654175454007587,4.2275483202872834,1.6211503968894365,-2.2091823972885787,-0.068257246277847,6.5656789000001,4.381742753722153,3.0456789000001003
10.0,0.8584223122251559,0.30817582223435724,3.2363605627038914,2.5241604456031226,6.553322903661712,1.7799690696174477,-2.071040566583582,-0.19417071811319775,5.12755565508976,4.255829281886802,1.6075556550897603
11.0,0.5096654485579128,0.9039489286945317,4.377192304708727,2.7887598758731134,6.871075959834901,1.5574310077349578,-0.339417955575942,-0.009022092610183524,6.5656789000001,4.440977907389817,3.0456789000001003
12.0,1.6948635856070684,0.3675773779903483,1.8682759771859554,1.872268247769996,2.0562585701068663,1.5691237138960545,-0.5261173692590582,-10.42474196267845,1.63936814773108,-5.97474196267845,-1.88063185226892
13.0,1.6283995940421403,0.9630790939409358,4.219533631758579,3.0089417527164817,3.261638012288413,1.9043758103192068,-4.584655169830941,-0.244413674164414,6.3492160654606,4.205586325835586,2.8292160654606
16.0,1.634751961550697,0.7601122782064673,4.193717476657756,3.8740745682526008,3.9723336820556048,2.145257960924424,-2.4385081099412114,-0.249665779138936,6.43792060185343,4.200334220861064,2.9179206018534303
