sim_id,p_NiNi_phi0,p_NiNi_gamma,p_NiNi_r0,d_Ni_rho0,d_Ni_beta,d_Ni_r0,e_Ni_latticetype,e_Ni_ecoh,e_Ni_B,e_Ni_a0,Ni_fcc.E_coh,Ni_fcc.a0,Ni_fcc.c11,Ni_fcc.c12,Ni_fcc.c44,Ni_fcc.B,Ni_fcc.G,Ni_fcc.vac,Ni_fcc.100s,Ni_fcc.110s,Ni_fcc.111s,Ni_fcc.isf,E_Ni_fcc_hcp,E_Ni_fcc_bcc,E_Ni_fcc_dia,Ni_fcc.E_coh.err,Ni_fcc.a0.err,Ni_fcc.c11.err,Ni_fcc.c12.err,Ni_fcc.c44.err,Ni_fcc.B.err,Ni_fcc.G.err,Ni_fcc.vac.err,Ni_fcc.100s.err,Ni_fcc.110s.err,Ni_fcc.111s.err,Ni_fcc.isf.err,E_Ni_fcc_hcp.err,E_Ni_fcc_bcc.err,E_Ni_fcc_dia.err
sim_id,param,param,param,param,param,param,param,param,param,param,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,qoi,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
0.0,3.735633909996467,2.101855278367935,2.489015869776647,3.1110340364287725,1.9201240801717265,2.489015869776647,fcc,-4.45,188.0,3.52,-4.528995241044975,3.51232491829817,204.980268804489,178.929468173737,67.8830277289383,187.61306838398767,13.02540031537599,1.742484054364354,0.1615785203790099,0.17233552104069574,0.1554082008482139,2.2113649592227898e-05,5.853636960040376e-05,0.008482406612440485,1.203154175596925,-0.07899524104497502,-0.0076750817018300665,-56.019731195511014,27.929468173737007,-64.1169722710617,-0.3869316160123333,-87.97459968462401,0.14248405436435396,0.013778520379009923,0.04683552104069574,0.004008200848213905,-0.008837886350407772,-0.019941463630399597,-0.12151759338755952,-0.596845824403075
4.0,3.944088663508068,2.138896406528326,2.489015869776647,1.6407697884459806,1.943282604283197,2.489015869776647,fcc,-4.45,188.0,3.52,-4.591971112543375,3.5127216166798,207.288183049175,176.609754994981,78.548012291463,186.8358976797123,15.339214027097,1.9642029985890872,0.1731200522254152,0.18463930521415828,0.16768075059762058,1.827496566911663e-05,4.829519769966595e-05,0.01032255266762494,1.3593019075044372,-0.14197111254337447,-0.0072783833201999215,-53.71181695082501,25.60975499498099,-53.451987708537004,-1.1641023202876966,-85.660785972903,0.3642029985890871,0.025320052225415224,0.05913930521415828,0.016280750597620575,-0.008841725034330884,-0.019951704802300334,-0.11967744733237506,-0.4406980924955628
5.0,0.8607321574535095,2.2011266084331145,2.489015869776647,2.404691390598131,1.6489161097979537,2.489015869776647,fcc,-4.45,188.0,3.52,-4.50097075085175,3.51183646305378,206.35037737395,189.124765698981,46.9210250332383,194.866636257304,8.612805837484501,1.3075987035412595,0.1470604593193685,0.1561008203795689,0.13992505822875784,2.9874140385918306e-05,7.88950311756409e-05,0.005139843911765141,0.895461599456675,-0.05097075085175007,-0.008163536946220074,-54.64962262604999,38.12476569898101,-85.0789749667617,6.866636257304009,-92.3871941625155,-0.2924012964587406,-0.0007395406806314786,0.030600820379568905,-0.01147494177124217,-0.00883012585961408,-0.01992110496882436,-0.12486015608823486,-0.904538400543325
6.0,0.7784551580099252,2.243777746534277,2.489015869776647,4.828319825750665,1.6228987178546384,2.489015869776647,fcc,-4.45,188.0,3.52,-4.491993730223325,3.51085416303466,196.999432695116,179.116472439047,48.3942041419744,185.07745919107,8.941480128034513,1.3408691190967943,0.15071967380872656,0.16006238161583103,0.14358287069753412,2.9852090149194843e-05,7.867279034989849e-05,0.005408652519514945,3.9224768275225586e-05,-0.04199373022332509,-0.009145836965339882,-64.00056730488399,28.116472439046987,-83.6057958580256,-2.9225408089299947,-92.05851987196549,-0.2591308809032058,0.0029196738087265695,0.03456238161583103,-0.007817129302465892,-0.008830147909850806,-0.019921327209650102,-0.12459134748048506,-1.7999607752317248
8.0,1.4849485856138123,2.220787388046391,2.489015869776647,3.3605062483241213,1.922912338867312,2.489015869776647,fcc,-4.45,188.0,3.52,-4.483863807057325,3.51595388845022,200.672125040822,182.32222158876,46.0790580332886,188.43885607278068,9.174951726031011,1.1589428120348089,0.11480334033855959,0.12229166682933233,0.10736540512512992,6.512659509169416e-06,1.7176300550758583e-05,0.006408375470005723,8.664056474927406e-06,-0.03386380705732517,-0.004046111549779852,-60.32787495917799,31.322221588759987,-85.92094196671141,0.4388560727806805,-91.82504827396899,-0.4410571879651912,-0.0329966596614404,-0.003208333170667668,-0.04403459487487009,-0.00885348734049083,-0.019982823699449242,-0.12359162452999428,-1.7999913359435251
10.0,2.0879606118192653,2.1286853084834463,2.489015869776647,3.141696650045633,1.8676627669910033,2.489015869776647,fcc,-4.45,188.0,3.52,-4.502703249199175,3.51325739221597,201.878483738775,181.112980225342,54.4635348372055,188.03481472981966,10.382751756716502,1.4261026467377178,0.1413307567522089,0.15061963501992862,0.13429051182900467,2.0051293332656377e-05,5.313031030063087e-05,0.0066850057586052,2.6612950037474548e-05,-0.05270324919917524,-0.006742607784029797,-59.121516261225,30.112980225342,-77.5364651627945,0.03481472981965794,-90.6172482432835,-0.17389735326228228,-0.006469243247791079,0.025119635019928616,-0.017109488170995335,-0.008839948706667343,-0.01994686968969937,-0.1233149942413948,-1.7999733870499626
12.0,1.636327746660295,2.3188750902469626,2.489015869776647,3.099855020512583,1.8781912799747031,2.489015869776647,fcc,-4.45,188.0,3.52,-4.49782546391505,3.51246407632819,208.967089827212,177.417042975192,78.0032493776001,187.93372525919867,15.775023426009994,1.882862834727348,0.1648210913648248,0.17622153312565747,0.1586310526338881,6.530409274087043e-06,1.696007474993877e-05,0.0112827091760348,8.614439575005406e-06,-0.04782546391504994,-0.0075359236718099964,-52.03291017278801,26.417042975192004,-53.9967506223999,-0.06627474080133311,-85.22497657399,0.28286283472734786,0.017021091364824825,0.05072153312565747,0.0072310526338880965,-0.008853469590725914,-0.01998303992525006,-0.1187172908239652,-1.799991385560425
13.0,3.371170294234049,1.980389170126613,2.489015869776647,3.8334324071297194,1.761019663126004,2.489015869776647,fcc,-4.45,188.0,3.52,-4.5390183772651,3.50405065687961,204.161868687171,179.846615387197,69.0456944168625,187.95169982052167,12.157626649986994,1.9462370124046515,0.19904067243577056,0.21081918158890942,0.1945215951809054,5.759121786479969e-05,0.00015140275649994095,0.006541382109919169,1.277387818066137,-0.08901837726509942,-0.01594934312038987,-56.838131312829006,28.846615387197005,-62.9543055831375,-0.048300179478331984,-88.842373350013,0.34623701240465143,0.05124067243577057,0.08531918158890942,0.04312159518090539,-0.0088024087821352,-0.01984859724350006,-0.12345861789008084,-0.5226121819338629
14.0,1.1645426776594108,2.188573239201598,2.489015869776647,0.6029331862822949,1.66936228180929,2.489015869776647,fcc,-4.45,188.0,3.52,-4.59466614799365,3.51264809429542,200.922857270218,179.021504450345,59.5562211768517,186.32195539030263,10.950676409936506,1.6350807721895535,0.1706788337055377,0.1813911270396462,0.16447389312262106,3.6806100877864384e-05,9.733830295033385e-05,0.006561348238320441,0.0051357669753375745,-0.14466614799365018,-0.007351905704580108,-60.077142729782,28.02150445034499,-72.4437788231483,-1.6780446096973662,-90.0493235900635,0.03508077218955341,0.022878833705537727,0.05589112703964619,0.013073893122621055,-0.008823193899122136,-0.019902661697049667,-0.12343865176167956,-1.7948642330246625
